Product_Name,URL,Price,Ratings,Availability,Is_Returnable
"Xiaomi 14 Ultra (White, 16GB RAM, 512GB Storage) | 50 MP Leica Quad Camera | 2K 120 Hz LTPO AMOLED | Flagship Snapdragon 8 Gen 3 | 90 W Hypercharge",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjQ4OTQ1MTE4NzQxNTE6MTcxNzEzODY1MDpzcF9hdGY6MzAwMTU5OTI2OTY0MjMyOjowOjo&url=%2FXiaomi-Storage-Flagship-Snapdragon-Hypercharge%2Fdp%2FB0CZ9FTNNR%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2KEXG0AT182UO%26dib%3DeyJ2IjoiMSJ9.X3W3Wl4rFFNQZw6LF-Cc7m9teOyl9AEQubznBnHvWWLpCJg-qdwTpsKQgJ8XYdqAX3eD2l2r2gKSFOCVeCD7jgg2KYjG_wcMlsAxHFLiytHjZ7Ow3Jcun88bDPxWB4hDEwNDVUyEImS1HGPV5-TmFfHmBYn966uPi5ykb1MJF-9hkr_Xo_PjfjvTEVHEGliQb7j1GOR6-ccZzAzhya3navn3Bupc4EXPX-o3BuCMsHw.eHxgc_OJ-bun-nmzl1Fl-S0Gar3g_MEKJSeUGpnGFJY%26dib_tag%3Dse%26keywords%3Dxiaomi%26qid%3D1717138650%26sprefix%3Dxiaomi%252Caps%252C224%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"99,999",4.2, In stock ,0
"Xiaomi 14 (Black, 12GB RAM, 512GB Storage) | 50MP Leica Professional Optics | 120 Hz 1.5K LTPO AMOLED | SD 8 Gen 3 Hyper OS",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjQ4OTQ1MTE4NzQxNTE6MTcxNzEzODY1MDpzcF9hdGY6MzAwMTQ0Mzk4NzIyNjMyOjowOjo&url=%2FXiaomi-Storage-Professional-Optics-AMOLED%2Fdp%2FB0CW3JRLH1%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2KEXG0AT182UO%26dib%3DeyJ2IjoiMSJ9.X3W3Wl4rFFNQZw6LF-Cc7m9teOyl9AEQubznBnHvWWLpCJg-qdwTpsKQgJ8XYdqAX3eD2l2r2gKSFOCVeCD7jgg2KYjG_wcMlsAxHFLiytHjZ7Ow3Jcun88bDPxWB4hDEwNDVUyEImS1HGPV5-TmFfHmBYn966uPi5ykb1MJF-9hkr_Xo_PjfjvTEVHEGliQb7j1GOR6-ccZzAzhya3navn3Bupc4EXPX-o3BuCMsHw.eHxgc_OJ-bun-nmzl1Fl-S0Gar3g_MEKJSeUGpnGFJY%26dib_tag%3Dse%26keywords%3Dxiaomi%26qid%3D1717138650%26sprefix%3Dxiaomi%252Caps%252C224%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"69,999",4.2, In stock ,0
"Xiaomi Pad 6| Qualcomm Snapdragon 870| Powered by HyperOS |144Hz Refresh Rate| 8GB, 256GB| 2.8K+ Display (11-inch/27.81cm) Tablet| Dolby Vision Atmos| Quad Speakers| Wi-Fi| Gray",https://www.amazon.in/Xiaomi-Qualcomm-Snapdragon-Refresh-Speakers/dp/B0C6QYTN7S/ref=sr_1_3?crid=2KEXG0AT182UO&dib=eyJ2IjoiMSJ9.X3W3Wl4rFFNQZw6LF-Cc7m9teOyl9AEQubznBnHvWWLpCJg-qdwTpsKQgJ8XYdqAX3eD2l2r2gKSFOCVeCD7jgg2KYjG_wcMlsAxHFLiytHjZ7Ow3Jcun88bDPxWB4hDEwNDVUyEImS1HGPV5-TmFfHmBYn966uPi5ykb1MJF-9hkr_Xo_PjfjvTEVHEGliQb7j1GOR6-ccZzAzhya3navn3Bupc4EXPX-o3BuCMsHw.eHxgc_OJ-bun-nmzl1Fl-S0Gar3g_MEKJSeUGpnGFJY&dib_tag=se&keywords=xiaomi&qid=1717138650&sprefix=xiaomi%2Caps%2C224&sr=8-3,"28,999",4.5, In stock ,0
"Redmi 13C (Stardust Black, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera",https://www.amazon.in/Stardust-Storage-Powered-MediaTek-Display/dp/B0CMTW9MVK/ref=sr_1_4?crid=2KEXG0AT182UO&dib=eyJ2IjoiMSJ9.X3W3Wl4rFFNQZw6LF-Cc7m9teOyl9AEQubznBnHvWWLpCJg-qdwTpsKQgJ8XYdqAX3eD2l2r2gKSFOCVeCD7jgg2KYjG_wcMlsAxHFLiytHjZ7Ow3Jcun88bDPxWB4hDEwNDVUyEImS1HGPV5-TmFfHmBYn966uPi5ykb1MJF-9hkr_Xo_PjfjvTEVHEGliQb7j1GOR6-ccZzAzhya3navn3Bupc4EXPX-o3BuCMsHw.eHxgc_OJ-bun-nmzl1Fl-S0Gar3g_MEKJSeUGpnGFJY&dib_tag=se&keywords=xiaomi&qid=1717138650&sprefix=xiaomi%2Caps%2C224&sr=8-4,"8,499",4.1, In stock ,0
"Redmi Note 13 Pro Coral Purple, 8GB RAM, 256GB Storage) | 1.5K AMOLED | 200MP Hi-Res Camera | Flagship 4nm SD 7s Gen 2 | 67W TurboCharge",https://www.amazon.in/Redmi-Purple-Storage-Flagship-TurboCharge/dp/B0CRQGT6QT/ref=sr_1_5?crid=2KEXG0AT182UO&dib=eyJ2IjoiMSJ9.X3W3Wl4rFFNQZw6LF-Cc7m9teOyl9AEQubznBnHvWWLpCJg-qdwTpsKQgJ8XYdqAX3eD2l2r2gKSFOCVeCD7jgg2KYjG_wcMlsAxHFLiytHjZ7Ow3Jcun88bDPxWB4hDEwNDVUyEImS1HGPV5-TmFfHmBYn966uPi5ykb1MJF-9hkr_Xo_PjfjvTEVHEGliQb7j1GOR6-ccZzAzhya3navn3Bupc4EXPX-o3BuCMsHw.eHxgc_OJ-bun-nmzl1Fl-S0Gar3g_MEKJSeUGpnGFJY&dib_tag=se&keywords=xiaomi&qid=1717138650&sprefix=xiaomi%2Caps%2C224&sr=8-5,"26,999",3.9, In stock ,0
"Xiaomi 14 Ultra (White, 16GB RAM, 512GB Storage) | 50 MP Leica Quad Camera | 2K 120 Hz LTPO AMOLED | Flagship Snapdragon 8 Gen 3 | 90 W Hypercharge",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjQ4OTQ1MTE4NzQxNTE6MTcxNzEzODY1MDpzcF9hdGY6MzAwMTU5OTI2OTY0MjMyOjowOjo&url=%2FXiaomi-Storage-Flagship-Snapdragon-Hypercharge%2Fdp%2FB0CZ9FTNNR%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2KEXG0AT182UO%26dib%3DeyJ2IjoiMSJ9.X3W3Wl4rFFNQZw6LF-Cc7m9teOyl9AEQubznBnHvWWLpCJg-qdwTpsKQgJ8XYdqAX3eD2l2r2gKSFOCVeCD7jgg2KYjG_wcMlsAxHFLiytHjZ7Ow3Jcun88bDPxWB4hDEwNDVUyEImS1HGPV5-TmFfHmBYn966uPi5ykb1MJF-9hkr_Xo_PjfjvTEVHEGliQb7j1GOR6-ccZzAzhya3navn3Bupc4EXPX-o3BuCMsHw.eHxgc_OJ-bun-nmzl1Fl-S0Gar3g_MEKJSeUGpnGFJY%26dib_tag%3Dse%26keywords%3Dxiaomi%26qid%3D1717138650%26sprefix%3Dxiaomi%252Caps%252C224%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"99,999",4.2, In stock ,0
"Xiaomi 14 (Black, 12GB RAM, 512GB Storage) | 50MP Leica Professional Optics | 120 Hz 1.5K LTPO AMOLED | SD 8 Gen 3 Hyper OS",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjQ4OTQ1MTE4NzQxNTE6MTcxNzEzODY1MDpzcF9hdGY6MzAwMTQ0Mzk4NzIyNjMyOjowOjo&url=%2FXiaomi-Storage-Professional-Optics-AMOLED%2Fdp%2FB0CW3JRLH1%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2KEXG0AT182UO%26dib%3DeyJ2IjoiMSJ9.X3W3Wl4rFFNQZw6LF-Cc7m9teOyl9AEQubznBnHvWWLpCJg-qdwTpsKQgJ8XYdqAX3eD2l2r2gKSFOCVeCD7jgg2KYjG_wcMlsAxHFLiytHjZ7Ow3Jcun88bDPxWB4hDEwNDVUyEImS1HGPV5-TmFfHmBYn966uPi5ykb1MJF-9hkr_Xo_PjfjvTEVHEGliQb7j1GOR6-ccZzAzhya3navn3Bupc4EXPX-o3BuCMsHw.eHxgc_OJ-bun-nmzl1Fl-S0Gar3g_MEKJSeUGpnGFJY%26dib_tag%3Dse%26keywords%3Dxiaomi%26qid%3D1717138650%26sprefix%3Dxiaomi%252Caps%252C224%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"69,999",4.2, In stock ,0
"Xiaomi Pad 6| Qualcomm Snapdragon 870| Powered by HyperOS |144Hz Refresh Rate| 8GB, 256GB| 2.8K+ Display (11-inch/27.81cm) Tablet| Dolby Vision Atmos| Quad Speakers| Wi-Fi| Gray",https://www.amazon.in/Xiaomi-Qualcomm-Snapdragon-Refresh-Speakers/dp/B0C6QYTN7S/ref=sr_1_3?crid=2KEXG0AT182UO&dib=eyJ2IjoiMSJ9.X3W3Wl4rFFNQZw6LF-Cc7m9teOyl9AEQubznBnHvWWLpCJg-qdwTpsKQgJ8XYdqAX3eD2l2r2gKSFOCVeCD7jgg2KYjG_wcMlsAxHFLiytHjZ7Ow3Jcun88bDPxWB4hDEwNDVUyEImS1HGPV5-TmFfHmBYn966uPi5ykb1MJF-9hkr_Xo_PjfjvTEVHEGliQb7j1GOR6-ccZzAzhya3navn3Bupc4EXPX-o3BuCMsHw.eHxgc_OJ-bun-nmzl1Fl-S0Gar3g_MEKJSeUGpnGFJY&dib_tag=se&keywords=xiaomi&qid=1717138650&sprefix=xiaomi%2Caps%2C224&sr=8-3,"28,999",4.5, In stock ,0
"Redmi 13C (Stardust Black, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera",https://www.amazon.in/Stardust-Storage-Powered-MediaTek-Display/dp/B0CMTW9MVK/ref=sr_1_4?crid=2KEXG0AT182UO&dib=eyJ2IjoiMSJ9.X3W3Wl4rFFNQZw6LF-Cc7m9teOyl9AEQubznBnHvWWLpCJg-qdwTpsKQgJ8XYdqAX3eD2l2r2gKSFOCVeCD7jgg2KYjG_wcMlsAxHFLiytHjZ7Ow3Jcun88bDPxWB4hDEwNDVUyEImS1HGPV5-TmFfHmBYn966uPi5ykb1MJF-9hkr_Xo_PjfjvTEVHEGliQb7j1GOR6-ccZzAzhya3navn3Bupc4EXPX-o3BuCMsHw.eHxgc_OJ-bun-nmzl1Fl-S0Gar3g_MEKJSeUGpnGFJY&dib_tag=se&keywords=xiaomi&qid=1717138650&sprefix=xiaomi%2Caps%2C224&sr=8-4,"8,499",4.1, In stock ,0
"Redmi Note 13 Pro Coral Purple, 8GB RAM, 256GB Storage) | 1.5K AMOLED | 200MP Hi-Res Camera | Flagship 4nm SD 7s Gen 2 | 67W TurboCharge",https://www.amazon.in/Redmi-Purple-Storage-Flagship-TurboCharge/dp/B0CRQGT6QT/ref=sr_1_5?crid=2KEXG0AT182UO&dib=eyJ2IjoiMSJ9.X3W3Wl4rFFNQZw6LF-Cc7m9teOyl9AEQubznBnHvWWLpCJg-qdwTpsKQgJ8XYdqAX3eD2l2r2gKSFOCVeCD7jgg2KYjG_wcMlsAxHFLiytHjZ7Ow3Jcun88bDPxWB4hDEwNDVUyEImS1HGPV5-TmFfHmBYn966uPi5ykb1MJF-9hkr_Xo_PjfjvTEVHEGliQb7j1GOR6-ccZzAzhya3navn3Bupc4EXPX-o3BuCMsHw.eHxgc_OJ-bun-nmzl1Fl-S0Gar3g_MEKJSeUGpnGFJY&dib_tag=se&keywords=xiaomi&qid=1717138650&sprefix=xiaomi%2Caps%2C224&sr=8-5,"26,999",3.9, In stock ,0
